epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2022.59,0.59923,0.40211,0.92953,0.97165,0.9766,0.97296,0.87503,0.49485,0.35455,0.89058,0.000462259,0.000462259,0.000462259
75,2044.88,0.59722,0.40567,0.92923,0.96884,0.97312,0.97059,0.87172,0.49749,0.35694,0.89297,0.000445756,0.000445756,0.000445756
76,2067.06,0.59508,0.40681,0.92911,0.9719,0.97206,0.97102,0.87528,0.48921,0.34871,0.88452,0.000429253,0.000429253,0.000429253
77,2089.68,0.60462,0.40746,0.93876,0.96679,0.97312,0.97112,0.86777,0.50415,0.34566,0.89404,0.000412749,0.000412749,0.000412749
78,2112.01,0.58876,0.39173,0.93206,0.96444,0.97312,0.96724,0.87242,0.49667,0.34686,0.88945,0.000396246,0.000396246,0.000396246
79,2134.29,0.59536,0.40962,0.9335,0.97229,0.97093,0.97633,0.88104,0.49863,0.35387,0.88994,0.000379743,0.000379743,0.000379743
80,2156.67,0.58446,0.40223,0.92924,0.97228,0.9766,0.97505,0.8818,0.4871,0.33218,0.88294,0.000363239,0.000363239,0.000363239
81,2178.83,0.57961,0.38482,0.92396,0.97176,0.96947,0.9715,0.87803,0.4899,0.32971,0.89073,0.000346736,0.000346736,0.000346736
82,2201.1,0.58236,0.3792,0.92558,0.97051,0.97353,0.96729,0.86747,0.4897,0.34076,0.88481,0.000330233,0.000330233,0.000330233
83,2223.59,0.57692,0.38356,0.92242,0.9692,0.97312,0.97226,0.87823,0.48216,0.33483,0.88453,0.000313729,0.000313729,0.000313729
84,2247.6,0.56778,0.37904,0.92164,0.97068,0.9766,0.96888,0.875,0.47616,0.32929,0.88291,0.000297226,0.000297226,0.000297226
85,2270.21,0.57458,0.38245,0.923,0.96884,0.9766,0.97234,0.87532,0.48084,0.33667,0.87954,0.000280723,0.000280723,0.000280723
86,2292.57,0.56447,0.37526,0.91476,0.97234,0.9766,0.97307,0.87979,0.46667,0.33466,0.87834,0.00026422,0.00026422,0.00026422
87,2314.75,0.56291,0.37103,0.92002,0.97261,0.9766,0.96931,0.87551,0.47816,0.32962,0.88184,0.000247716,0.000247716,0.000247716
88,2337.19,0.55288,0.36441,0.91752,0.97246,0.9766,0.96833,0.87239,0.47255,0.32649,0.88225,0.000231213,0.000231213,0.000231213
89,2359.52,0.56219,0.37709,0.91994,0.97205,0.9766,0.96958,0.87567,0.47225,0.32734,0.8806,0.00021471,0.00021471,0.00021471
90,2381.75,0.54996,0.36643,0.90972,0.97186,0.9766,0.97329,0.87874,0.47892,0.32479,0.88376,0.000198206,0.000198206,0.000198206
91,2443.01,0.46679,0.27197,0.85883,0.97141,0.9766,0.97116,0.8748,0.47942,0.32024,0.87991,0.000181703,0.000181703,0.000181703
92,2465.17,0.45492,0.26026,0.85293,0.96709,0.9796,0.97599,0.88591,0.47308,0.31858,0.88214,0.0001652,0.0001652,0.0001652
93,2487.59,0.4572,0.26054,0.86247,0.96985,0.97452,0.97495,0.88632,0.46712,0.31827,0.8818,0.000148696,0.000148696,0.000148696
94,2510.36,0.44849,0.25695,0.85282,0.97244,0.9766,0.97338,0.88603,0.46399,0.31933,0.88056,0.000132193,0.000132193,0.000132193
95,2532.8,0.44037,0.25029,0.8503,0.97143,0.97231,0.97387,0.88777,0.46986,0.32026,0.88228,0.00011569,0.00011569,0.00011569
96,2555.09,0.43876,0.2475,0.85362,0.97141,0.9766,0.97563,0.89052,0.47498,0.32024,0.87891,9.91865e-05,9.91865e-05,9.91865e-05
97,2577.48,0.43798,0.24764,0.85553,0.97168,0.9766,0.97537,0.89044,0.46458,0.31536,0.87598,8.26832e-05,8.26832e-05,8.26832e-05
98,2599.66,0.43191,0.24319,0.85285,0.97158,0.97343,0.97408,0.88923,0.46454,0.31029,0.87701,6.61799e-05,6.61799e-05,6.61799e-05
99,2621.78,0.42711,0.24611,0.84784,0.96909,0.97225,0.97313,0.89121,0.4689,0.31886,0.87671,4.96766e-05,4.96766e-05,4.96766e-05
100,2643.79,0.42734,0.24131,0.84933,0.9679,0.9712,0.97333,0.89065,0.46319,0.32167,0.87462,3.31733e-05,3.31733e-05,3.31733e-05
